P4 sweep: 1542 jobs total, 0 already done; workers=24, cap=$100.0
== P1-fever: 672/672 jobs to run
[1/1542] P1-fever relay/vanilla/feverc_009 outcome=correct run=$0.001 sweep=$0.00
[2/1542] P1-fever relay/vanilla/feverc_020 outcome=wrong_confident run=$0.001 sweep=$0.00
[3/1542] P1-fever relay/vanilla/feverc_022 outcome=correct run=$0.001 sweep=$0.00
[4/1542] P1-fever relay/vanilla/feverc_007 outcome=correct run=$0.003 sweep=$0.03
[5/1542] P1-fever relay/vanilla/feverc_013 outcome=correct run=$0.005 sweep=$0.03
[6/1542] P1-fever relay/vanilla/feverc_014 outcome=wrong_confident run=$0.006 sweep=$0.03
[7/1542] P1-fever relay/vanilla/feverc_023 outcome=wrong_confident run=$0.006 sweep=$0.03
[8/1542] P1-fever relay/vanilla/feverc_016 outcome=correct run=$0.007 sweep=$0.07
[9/1542] P1-fever relay/vanilla/feverc_011 outcome=wrong_confident run=$0.007 sweep=$0.07
[10/1542] P1-fever relay/vanilla/feverc_028 outcome=correct run=$0.005 sweep=$0.07
[11/1542] P1-fever relay/vanilla/feverc_000 outcome=correct run=$0.007 sweep=$0.07
[12/1542] P1-fever relay/vanilla/feverc_002 outcome=wrong_confident run=$0.008 sweep=$0.10
[13/1542] P1-fever relay/vanilla/feverc_015 outcome=correct run=$0.010 sweep=$0.10
[14/1542] P1-fever relay/vanilla/feverc_018 outcome=correct run=$0.009 sweep=$0.10
[15/1542] P1-fever relay/vanilla/feverc_019 outcome=correct run=$0.011 sweep=$0.10
[16/1542] P1-fever relay/vanilla/feverc_030 outcome=correct run=$0.006 sweep=$0.10
[17/1542] P1-fever relay/vanilla/feverc_006 outcome=correct run=$0.006 sweep=$0.10
[18/1542] P1-fever relay/vanilla/feverc_027 outcome=correct run=$0.005 sweep=$0.10
[19/1542] P1-fever relay/vanilla/feverc_026 outcome=wrong_confident run=$0.007 sweep=$0.15
[20/1542] P1-fever relay/vanilla/feverc_037 outcome=correct run=$0.005 sweep=$0.15
[21/1542] P1-fever relay/vanilla/feverc_034 outcome=correct run=$0.006 sweep=$0.15
[22/1542] P1-fever relay/vanilla/feverc_035 outcome=wrong_confident run=$0.007 sweep=$0.17
[23/1542] P1-fever relay/vanilla/feverc_040 outcome=correct run=$0.007 sweep=$0.17
[24/1542] P1-fever relay/vanilla/feverc_031 outcome=correct run=$0.011 sweep=$0.19
[25/1542] P1-fever relay/vanilla/feverc_039 outcome=correct run=$0.007 sweep=$0.19
