===== edge 1 =====
I investigated the frequency of the Premier League Asia Trophy. My research confirms that the tournament was indeed held biennially in Asia from its inception in 2003 until 2019. However, I found that the tournament was abolished in 2019 and is no longer an active event. Because the claim uses the present tense "is held," implying it is currently ongoing, the claim is factually incorrect. I determined the answer to be REFUTES.

===== edge 2 =====
I investigated the specific question of whether the Premier League Asia Trophy is held in Asia.

My findings confirm that the tournament is indeed held in Asia. It is a biennial pre-season friendly tournament that has taken place in various Asian locations, including Hong Kong, Malaysia, Thailand, Singapore, and China.

Therefore, the part of the claim stating the trophy is held in Asia is supported by the evidence.

===== edge 3 =====
I investigated the attendance figures for the Premier League Asia Trophy to determine if the claim that it is "attended by many" is accurate. My research found that the tournament consistently attracts large crowds, with final attendances frequently exceeding 30,000 to 50,000 spectators.

Key evidence includes:
- The 2015 final in Singapore drew 52,107 spectators.
- The 2010 final in Kuala Lumpur had 47,500 attendees.
- The 2017 final in Hong Kong saw 39,498 spectators.
- The 2013 final in Hong Kong had 39,544 attendees.

Based on these figures, the evidence supports the assertion that the Premier League Asia Trophy is attended by many.

