loaded 151 frozen phase-1 metas

=== G3: phase-1 k calibration
 family   k    n  solved_by_A  touched_repo  budget_stop
  board  12   30    16 (  53%)     21 (  70%)     9 (  30%)
  plain   3    1     0 (   0%)      0 (   0%)     1 ( 100%)
  plain   5   30     8 (  27%)     12 (  40%)    24 (  80%)
  plain   6   30    12 (  40%)     17 (  57%)    23 (  77%)
  plain   8   30    15 (  50%)     21 (  70%)    20 (  67%)
  plain  12   30    16 (  53%)     23 (  77%)    15 (  50%)

loaded 390 phase-2 results

=== G2: brackets/arms (phase-2 outcomes)
--- k=6 m=8
      slice    condition    n     SR  LA_file  LA_func  mean_calls
   A_solved      ceiling   12   100%       0%       0%         1.2
   A_solved        floor   12   100%       0%       0%         3.4
   A_solved       oracle   12   100%      25%      25%         3.5
 A_unsolved      ceiling   18    17%      44%      33%         6.8
 A_unsolved        floor   18    17%      61%      56%         7.7
 A_unsolved       oracle   18    56%      83%      78%         6.3
--- k=12 m=8
      slice    condition    n     SR  LA_file  LA_func  mean_calls
   A_solved        board   16    94%      12%      12%         2.4
   A_solved  board_inert   16    94%      12%      12%         2.2
   A_solved      ceiling   16   100%       6%       6%         1.4
   A_solved         down   16   100%       0%       0%         1.4
   A_solved      extract   16   100%       0%       0%         1.7
   A_solved        floor   16   100%       0%       0%         2.2
   A_solved         full   16   100%       0%       0%         1.2
   A_solved       oracle   16   100%      44%      44%         3.9
   A_solved          sop   16   100%       0%       0%         1.1
   A_solved      vanilla   16   100%       6%       6%         1.3
 A_unsolved        board   14    43%      43%      43%         5.5
 A_unsolved  board_inert   14    36%      43%      43%         5.9
 A_unsolved      ceiling   14    50%      57%      43%         6.8
 A_unsolved         down   14    50%      64%      43%         6.1
 A_unsolved      extract   14    21%      50%      36%         7.0
 A_unsolved        floor   14    36%      50%      29%         7.4
 A_unsolved         full   14    14%      29%      14%         6.9
 A_unsolved       oracle   14    64%      93%      71%         5.9
 A_unsolved          sop   14    36%      64%      43%         6.5
 A_unsolved      vanilla   14    29%      64%      43%         6.7

